STA_SEQ,Station_Name,Proximity_Landmark,YLat,XLong
14213,Furnace Brook,downstream Riverside Pond,41.9854,-72.2902
14214,Furnace Brook,upstream Orcuttville Road,41.9841,-72.2947
14215,Furnace Brook,downstream Glenville Pond,41.9679,-72.2979
14216,Great Brook,at mouth (off West Liberty St.),41.547,-73.0423
14217,Gulf Stream,downstream Park Ave at Mouth,41.7909,-73.1177
14218,Hamlin Pond,adjacent Woodford Avenue,41.6711,-72.847
14219,Hammonasset River,at Old County Road,41.4125,-72.6328
14220,Hammonasset River,upstream Bunnell Road,41.3882,-72.6149
14221,Hammonasset River,Adjacent Summer Hill Road (US Chestnut Hill Rd),41.3278,-72.6116
14222,Hancock Brook,near Mouth upstream RR bridge,41.5799,-73.0497
14223,Hancock Brook,downstream Bridge in Waterville Park,41.5885,-73.0503
14224,Hanover Pond,adjacent Oregon Road,41.5236,-72.8342
14225,Hanover Pond,adjacent Hanover Street,41.521,-72.8257
14226,Harbor Brook,upstream Coe Road,41.5314,-72.8218
14227,Hemp Swamp Brook,downstream Emmissons testing Road,41.4294,-73.0766
14228,Hersig Brook,adjacent Korn School,41.4777,-72.672
14229,Hockanum Brook,Bethany Road,41.4373,-73.051
14230,Hockanum Brook,upstream South Main Street Near JCT Route 42,41.4366,-73.0593
14231,Hockanum River,In Lake,41.7662,-72.6392
14232,Hockanum River,In Lake,41.7666,-72.635
14233,Hockanum River,In Lake Union Pond,41.8051,-72.5219
14234,Hockanum River,In lake Scotland Impoundment,41.7759,-72.6027
14235,Hockanum River,downstream Walnut Street,41.7822,-72.5912
14236,Hockanum River,downstream Vernon Avenue,41.8647,-72.4517
14237,Hockanum River,downstream New State Street,41.7859,-72.5569
14238,Hockanum River,upstream Lower Butcher Road,41.8758,-72.4743
14239,Hockanum River,upstream Vernon STP,41.8659,-72.487
14240,Hockanum River,upstream Werner Road,41.8585,-72.4916
14241,Hockanum River,upstream Dart Hill Road,41.8503,-72.4878
14242,Hockanum River,upstream 100 meters confluence with Tankerhoosen River,41.8195,-72.5035
14243,Hockanum River,adjacent Route 83,41.8107,-72.5176
14244,Hockanum River,upstream Adams Street,41.7883,-72.5503
14245,Hockanum River,at USGS gage upstream of Walnut Street,41.7822,-72.5916
14246,Hollenbeck River,at Route 126 & R.R tracks,41.9756,-73.3572
14247,Hollenbeck River,at Cobble Road,41.9431,-73.3058
14248,Hop Brook,at RR bridge Naug Glass,41.4987,-73.0537
14249,South Fork Hockanum River,at Olcott Road,41.773,-72.5569
14250,South Fork Hockanum River,upstream discharge POTW Rd,41.7767,-72.5612
14251,Housatonic River,at dirt road North of Route 128,41.8806,-73.3654
14252,Housatonic River,upstream 0.25 miles Housatonic Meadows State Park,41.828,-73.3815
14253,Pickerel Lake,at deepest part of lake,41.5257,-72.4203
14254,Housatonic River,North 1.5 miles Route 128,41.8906,-73.3576
14255,Housatonic River,adjacent thru corn field,41.9554,-73.3696
14256,Hubbard Brook,upstream 200 meters Route 2 West crossing,41.7082,-72.5803
14257,Hubbard Brook,downstream 50 meters Route 2 East crossing,41.7089,-72.5843
14258,Hubbard Brook Wetland tributary to,in outlet 10 m upstream Route 2 West crossing,41.7097,-72.5828
14259,Humiston Brook,Off Dirt road  East County Road,41.5938,-72.9519
14260,Jeremy River,downstream Route 149,41.5799,-72.4028
14261,Kahn Brook,upstream Koskoff Farm,41.5791,-72.1661
14262,Kahn Brook,downstream Farm Buildings,41.5718,-72.1685
14263,Kahn Brook,upstream Schwartz Road,41.5681,-72.1702
14264,Ketch Brook,upstream landfill downstream dam adjacent to Wapping Road,41.8893,-72.5398
14265,Ketch Brook,at East Road,41.8788,-72.5202
14266,Pecks Brook,at East Road,41.8843,-72.5204
14267,Ketch Brook,downstream RR bridge,41.8862,-72.5523
14268,Ketch Brook,upstream RR crossing and upstream of Landfill Seep,41.8862,-72.5479
14269,Ketch Brook,upstream RR crossing and downstream of Landfill Seep,41.8859,-72.549
14270,Ketch Brook,downstream Rye Street,41.8797,-72.5744
14271,West Hartford Reservoir No 3 Unnamed outflow from (Kilkenney Brook),downstream dirt road Reservoir 3,41.7557,-72.7888
14272,Leadmine Brook,Leadmine Road,41.702,-73.0575
14273,Limekiln Brook,upstream side of Route 6 Crossing,41.4096,-73.4142
14274,Limekiln Brook tributary to,behind shopping plaza at pump station,41.4066,-73.4126
14275,Little River,upstream Peake Brook Road,41.928,-71.9331
14276,Little River,downstream 150 meters Peake Brook Road,41.928,-71.9315
14277,Little River,upstream Potash Hill Road,41.6393,-72.0582
14278,Little River,upstream Bushell Hollow Road Route 138,41.6158,-72.0416
14279,Little River,adjacent Wire company near mouth,41.3965,-73.0767
14280,Little River,downstream Route 67,41.4058,-73.0926
14281,Lyman Brook,upstream confluence with Blackledge River,41.6077,-72.4263
14282,Mad River,at South Main Street,41.5448,-73.0373
14283,Mad River,between Mouth and Old Route 8 crossing,41.9199,-73.0597
14284,Mad River,near mouth (Washington St.),41.5439,-73.0384
14285,Mad River,upstream Frost Street,41.5603,-73.0029
14286,Mattabesset River,upstream Route 71A,41.6201,-72.7937
14287,Mattabesset River,upstream Route 372,41.6088,-72.7144
14288,Mattabesset River,downstream Berlin Street,41.6189,-72.7127
14289,Menunketesuck River,upstream Kelseytown Road,41.3296,-72.5242
14290,Menunketesuck River,at Route 80,41.3565,-72.5405
14291,Mianus River,June Road,41.1043,-73.5865
14292,Mianus River,Old Mill Road,41.0934,-73.5857
14293,Mianus River,upstream Merribrook Lane,41.0806,-73.5812
14294,Mill Brook,downstream Route 12 bridge,41.6643,-71.9198
14295,Mill Brook,downtstream 200 ft RR Bridge,41.6669,-71.9247
14296,Mill Brook,at RR tracks,41.667,-71.9227
14297,Mill Brook,upstream 200 feet Fry Brook confluence,41.6671,-71.9262
14298,Mill River,upstream Lake Mohegan,41.208,-73.257
14299,Mill River,upstream Mill Plain Road (Burr Street),41.1738,-73.2684
14300,Mill River,upstream Tuttle Road,41.4307,-72.904
14301,Mill River,downstream Dixwell Avenue,41.3828,-72.8967
14302,Milli-Q,177 at Toxicity Lab Water,41.7626,-72.6792
14303,Muddy Brook,downstream Route 168 (Main Street),41.9838,-72.6582
14304,Muddy Brook,downstream Route 169 Bridge,42.0135,-72.0042
14305,Muddy Brook,between confluence w/trib (MB2) and dirt road crossing,42.0147,-72.0017
14306,Muddy Brook,upstream Green Road,42.0118,-71.9934
14307,Moss Brook,10 meters upstream confluence with Muddy Brook,42.0153,-72.0024
14308,Muddy River,adjacent Velvet Road,41.3685,-72.8417
14309,Muddy River,downstream Liney Hill Road,41.458,-72.7685
14310,Muddy River,upstream Patten Road at Hansen Park,41.3802,-72.8271
14311,Mudge Pond Brook,upstream Route 361 (4),41.8908,-73.4804
14312,Mudge Pond Brook,downstream Kings Hill Road,41.8835,-73.4911
14313,Natchaug River,upstream confluence with Shetucket River,41.7155,-72.1941
14314,Natchaug River,downstream North Bear Hill Road,41.8008,-72.1182
14315,Naugatuck River,at Division Street,41.331,-73.0793
14316,Naugatuck River,Frost Bridge - upstream Frost Bridge Echo Lake Rd and Route 262,41.6159,-73.0579
14317,Naugatuck River,behind Fire Station,41.4435,-73.0642
14318,Naugatuck River,off Pershing Drive,41.3387,-73.0806
14319,Naugatuck River,upstream falls at Campville Road,41.7361,-73.1054
14320,Naugatuck River,at Leadmine Road,41.7026,-73.0639
14321,Naugatuck River,downstream Reynolds Bridge at first dirt pull off,41.6497,-73.0774
14322,Naugatuck River,between RR crossing and Dredge Hole impoundment,41.631,-73.0772
14323,Naugatuck River,Adjacent to 300 Chase River Road,41.5894,-73.0574
14324,Naugatuck River,at West Main Street,41.5571,-73.0544
14325,Naugatuck River,downstream Freight Street,41.5529,-73.0522
14326,Naugatuck River,downstream Bank Street,41.5471,-73.0434
14327,Naugatuck River,downstream Washington Street,41.5437,-73.04
14328,Naugatuck River,downstream Eagle Street,41.5356,-73.0368
14329,Naugatuck River,upstream South Leonard Street,41.5304,-73.0402
14330,Naugatuck River,at Bristol Street,41.5182,-73.0536
14331,Naugatuck River,upstream Route 68,41.5051,-73.0469
14332,Naugatuck River,adjacent North end of Linden Park,41.5002,-73.0503
14333,Naugatuck River,at footbridge,41.5017,-73.0483
14334,Naugatuck River,at Route 63,41.4834,-73.0523
14335,Naugatuck River,300 m upstream Maple Street,41.4899,-73.0527
14336,Naugatuck River,upstream Beacon Valley Brook Confluence (Cross Street),41.4683,-73.053
14337,Naugatuck River,at Depot Street,41.4427,-73.0626
14338,Naugatuck River,downstream Broad Street,41.3921,-73.0748
14339,Naugatuck River,at Route 34,41.3189,-73.0818
14340,Naugatuck River,at East Albert Street,41.7959,-73.1174
14341,Naugatuck River,at Palmer Bridge Street,41.7891,-73.1145
14342,Naugatuck River,upstream POTW discharge,41.7811,-73.1173
14343,Naugatuck River,adjacent POTW discharge,41.7807,-73.1175
14344,Naugatuck River,downstream East POTW discharge,41.7806,-73.1175
14345,Naugatuck River,downstream West POTW discharge,41.7805,-73.1176
14346,Naugatuck River,downstream POTW outfall at next riffle,41.7798,-73.1177
14347,Naugatuck River,downstream Upper Bogue Road,41.7769,-73.1181
14348,Naugatuck River,downstream Route 118,41.7631,-73.1173
14349,Nepaug River,upstream Route 202 & Steadman Road,41.83,-72.9947
14350,No Name Trib A,upstream P&W,41.5381,-72.5639
14351,No Name Trib B,upstream P&W,41.5393,-72.564
14352,No Name Trib B,downstream P&W,41.5433,-72.5595
14353,No Name Trib C,upstream P&W,41.5437,-72.5646
14354,No Name Trib C,downstream P&W,41.5467,-72.5614
14355,Nonewaug River,downstream Route 47 (Washington Road),41.5575,-73.2122
14356,Noroton River,downstream Middlesex Road,41.0753,-73.5155
14357,Noroton River,upstream Camp Avenue,41.0954,-73.5143
14358,Noroton River,Behind St. John's Cemetary,41.0898,-73.5152
14359,North Farms Reservoir,upstream Route 68,41.4853,-72.7813
14360,Norwalk River,upstream Cooper Pond Brook Confluence at Branchville RR,41.2675,-73.4414
14361,Norwalk River,upstream Perry Avenue,41.1359,-73.426
14362,Ridgefield Brook,upstream Route 35 near old pierce road,41.3158,-73.4792
14363,Norwalk River,downstream Route 7 & South Stonehenge Road,41.3101,-73.4691
14364,Norwalk River,downstream of wpcf outfall pipe Route 107 & Route 57 bridge,41.2569,-73.4288
14365,Norwalk River,downstream G & B discharge at wpcf outfall,41.2562,-73.4293
14366,Norwalk River,upstream Old Mill Road,41.246,-73.4341
14367,Norwalk River,in G & B mixing zone 50 m DS WPCF outfall pipe,41.2559,-73.4296
14368,Norwalk River,upstream RR bridge,41.2545,-73.4301
14369,Norwalk River,downstream School Road at YMCA,41.2048,-73.4306
14370,Norwalk River,downstream of Old Ridgefield Road crossing In Schenck's Island Park,41.1909,-73.4297
14371,Norwalk River,upstream Route 123,41.1267,-73.4295
14372,Papermill Pond tributary to,upstream Potash Hill Road,41.6314,-72.0431
14373,Papermill Pond tributary to,upstream paper storage parking lot,41.6251,-72.044
14374,Papermill Pond tributary to,downstream paper storage parking lot,41.6236,-72.0448
14375,Papermill Pond tributary to,downstream 1st discharge,41.6228,-72.0449
14376,Papermill Pond tributary to,upstream RR bridge,41.6222,-72.0448
14377,Pattaconk Brook,first crossing Route 148 downstream Route 9,41.3991,-72.4651
14378,Patton Brook,downstream River Street,41.6476,-72.8696
14379,Pawcatuck River,under White Rock Road Bridge at state line,41.3978,-71.8422
14380,Peake Brook tributary to,upstream Carson Road,41.9091,-71.954
14381,Peake Brook tributary to,downstream Carson Road,41.9102,-71.9528
14382,Pecks Brook,at Middle Road,41.8918,-72.5095
14383,Pequabuck River,downstream Route 177,41.6719,-72.8751
14384,Pequabuck River,downstream Preston Road,41.697534,-73.021703
14385,Pequabuck River,adjacent Retirement Housing (Eagle Street),41.6789,-73.015
14386,Pequabuck River,at Bemis Street upstream of Upper Pond,41.6881,-73.0223
14387,Pequabuck River,Immediately upstream Confluence with Terryville Reservoir 3 outlet stream,41.6891,-73.0238
14388,Pequabuck River,Route72 & Route 6,41.678,-73.0002
14389,Pequabuck River,downstream Canal Street,41.6693,-72.9936
14390,Pequabuck River,upper end Rockwell Park,41.6742,-72.9619
14391,Pequabuck River,downstream 250 meters Route 229,41.6681,-72.9208
14392,Pequabuck River,adjacent USGS Gage upstream of Central Avenue,41.6738,-72.8977
14393,Pequabuck River,downstream 200 meters Route 6,41.7046,-72.8504
14394,Pequonnock River,adjacent Unity Park,41.2343,-73.1838
14395,Pequonnock River,downstream Route 111 Bridge,41.2881,-73.2348
14396,Pine Brook,at old bridge Pine Brook Road,41.5079,-72.4952
14397,Piper Brook,upstream Main Street,41.7186,-72.7274
14398,Piper Brook old channel,near mouth (old channel),41.7303,-72.7231
14399,Pocotopaug Creek,at Main Street,41.573,-72.5015
14400,Pocotopaug Creek,50 m upstream Route 16,41.565,-72.5069
14401,Pocotopaug Creek,upstream off Chestnut Hill Road,41.5352,-72.5182
14402,Poland River,upstream Route 72,41.6912,-73.0045
14403,Pomperaug River,upstream Judson Avenue,41.5491,-73.2165
14404,Pomperaug River,upstream Transylvania Brook,41.4717,-73.256
14405,Pootatuck River,upstream of dayton street edge of Rocky Glen State Park,41.4228,-73.2819
14406,Pootatuck River,downstream Wasserman Way on Game Club Property (Mile Hill Rd),41.4064,-73.272
14407,Pootatuck River,upstream new WPCF outfall,41.4142,-73.2823
14408,Pootatuck River,downstream new WPCF outfall,41.4144,-73.2825
14409,Pootatuck River,downstream Route 84 West overpass,41.4162,-73.2824
14410,Quinebaug River,upstream Route 197,42.022,-71.9528
14411,Quinebaug River,behind Firehouse,41.9204,-71.9087
14412,Quinebaug River,adjacent Rogers Corp,41.8373,-71.9094
14413,Quinnipiac River,downstream small dam behind water company building on Syndall Street,41.528244,-72.856272
14414,Quinnipiac River,adjacent Route 15 USGS gauge,41.4501,-72.8407
14415,Quinnipiac River,upstream Route10,41.5713,-72.8962
14416,Connecticut River,upstream of Island Haddam Meadows State Park Adjacent to Rock Landing,41.4961,-72.5259
14417,Quinnipiac River,upstream West Main Street,41.5878,-72.891
14418,Quinnipiac River,downstream Route 10,41.572,-72.8952
14419,Quinnipiac River,upstream Old Turnpike Road,41.57,-72.8891
14420,Quinnipiac River,upstream East Johnson Street,41.5502,-72.8705
14421,Quinnipiac River,upstream Main Street,41.5185,-72.8258
14422,Quinnipiac River,upstream Route 68,41.4912,-72.8174
14423,Quinnipiac River,downstream Tomlinson Avenue,41.6633,-72.8527
14424,Quinnipiac River,downstream Route 10,41.644,-72.8745
14425,Quinnipiac River,downstream Spring Street,41.63,-72.8833
14426,Quinnipiac River,downstream Lazy Lane,41.6219,-72.8751
14427,Quinnipiac River,downstream Mill Street,41.6042,-72.883
14428,Quinnipiac River,adjacent Queen Street,41.6178,-72.8751
14429,Quinnipiac River,upstream Toelles Road,41.4326,-72.8506
14430,Rainbow Brook,upstream 100 meters Rainbow Road,41.9163,-72.6864
14431,Rippowam River,between old bridge and Round Hill Road (Route 137),41.1134,-73.5471
14432,Rippowam River,downstream Bridge Street in Woodside Park,41.0661,-73.5484
14433,Roaring Brook,upstream Route 17,41.665,-72.6045
14434,Salmon Creek (Salmon Kill),upstream Salmon Kill Road at USGS gage,41.9417,-73.3909
14435,Salmon Brook,adjacent Granbrook Park,41.9366,-72.7749
14436,Salmon Brook,upstream House Road,41.7191,-72.602
14437,Salmon Brook,upstream Research Road,41.7167,-72.5851
14438,Salmon Brook,downstream Bell Street,41.7211,-72.5559
14439,Salmon Creek (Salmon Kill),downstream Route 112,41.9337,-73.3908
14440,Salmon River,downstream Route16 Bridge,41.5526,-72.4496
14441,Salmon River,downstream 0.7 miles RR bridge,41.5742,-72.4294
14442,Sandy Brook,opposite Grange Hall off Riverton Road,41.974,-73.0406
14443,Saugatuck River,downstream Davis Hill Road,41.2245,-73.3469
14444,Saugatuck River,downstream Route 107 & Route 53 Junction,41.2945,-73.3948
14445,Saugatuck River,at DS end of Fly Fishing Only Area (1 Ford Rd),41.1693,-73.367
14446,Scantic River,downstream Woolam Street,41.8941,-72.5723
14447,Blackledge River Unnamed tributary to (Schroeder Brook),upstream Bull Hill Road,41.5926,-72.4301
14448,Seymour Hollow Brook,Upstream Rainbow Road,41.9137,-72.6834
14449,Shenipsit Lake,In Shenipsit Lake,41.8886,-72.4238
14450,Shepaug River,downstream 100 meters Wellers Bridge Road (Route 67),41.5489,-73.3308
14451,Shetucket River,downstream Plains Road adjacent to USGS gauge,41.7002,-72.1823
14452,Silvermine River,end of Alvin Road downstream of Perry Avenue,41.1503,-73.4434
14453,Spruce Brook,upstream RR Bridge (cold spring road),41.4562,-73.0626
14454,Steele Brook,downstream East Aurora Street,41.5711,-73.0594
14455,Steele Brook,upstream POTW discharge,41.5913,-73.1026
14456,Steele Brook,parallel North Parking Lot for Municipal stadium,41.5805,-73.0703
14457,Still River,upstream side of Lanesville Road Crossing (Dead end),41.5406,-73.4124
14458,Still River,under Route 7 overpass adjacent to Gray's Bridge Road,41.4389,-73.401
14459,Still River,upstream 100 meters Wallens Street,41.929,-73.0584
14460,Still River,off Route 8  behind VFW,41.9476,-73.0487
14461,Sandy Brook (Still River),adjacent USGS gage off Robertsville Road,41.9685,-73.0331
14462,Still River,downstream Triangle Street,41.3923,-73.4348
14463,Still River,end Oil Mill Road,41.3898,-73.4637
14464,Still River,upstream Old Newtown Road,41.4063,-73.4253
14465,Stony Brook,upstream South Grand Street,41.9608,-72.711
14466,Sympaug Brook,upstream Reservoir Street (Beach street),41.3727,-73.4218
14467,Sympaug Brook,at shelter rock road crossing,41.3908,-73.4272
14468,Sympaug Brook,upstream South Street,41.3689,-73.4205
14469,Tankerhoosen River,upstream 100 m mouth at golf land,41.8201,-72.5033
14470,Tankerhoosen River,upstream Tunnel Road,41.8272,-72.464
14471,Tenmile River,upstream 0.25 miles mouth,41.6664,-73.5119
14472,Ten Mile River,downstream Route 322,41.5655,-72.8905
14473,Ten Mile River,upstream Route 70,41.5267,-72.9331
14474,Transylvania Brook,upstream East Flat Hill Road,41.4726,-73.2576
14475,East Swamp Brook tributary to,above POTW outfall,41.3953,-73.4117
14476,Black Brook,at Route 8,41.2763,-73.1164
14477,Limekiln Brook tributary to,below POTW outfall,41.4049,-73.4115
14478,Lyman Brook Unnamed tributary to,downstream New London Turnpike,41.6267,-72.4532
14479,Trout Brook,upstream New Britain Avenue,41.7314,-72.7231
14480,Trout Brook,upstream Route10,41.6788,-72.8464
14481,Turkey Brook,at Skipper Ave,41.5891,-73.0761
14482,West Branch Naugatuck River,downstream Route 4,41.8181,-73.1441
14483,West Branch Saugatuck River tributary to,at Route 57 & Samuelson Road,41.245,-73.4147
14484,West Branch Salmon Brook,upstream 50 meters Barndoor Hills Road,41.9372,-72.8215
14485,Waterbury WPCF,in secondary clarifiers Waterbury WPCF,41.5206,-73.0447
14486,Wepawaug River,downstream Walnut Street,41.236,-73.0573
14487,Wepawaug River,upstream Route 162,41.2191,-73.0553
14488,West Aspetuck River,Upstream Aspetuck Ridge Road (near Sand Rd),41.604889,-73.428789
14489,West River,upstream Valley Road,41.3303,-72.9663
14490,West River,off Rte 77 South of Route 80,41.3399,-72.7154
14491,West River,downstream Rte 77 North of Route 80,41.3574,-72.7206
14492,Willimantic River,upstream old bridge Jones Crossing Road,41.8326,-72.3079
14493,Connecticut River,on bank adjacent to Glastonbury Meadows,41.6937,-72.636
14494,Willow Brook,downstream road Near footballfield,41.6494,-72.7741
14495,Willow Brook,upstream RR tracks discharge,41.6425,-72.7615
14496,Willow Brook,downstream discharge,41.6429,-72.759
14497,Willow Brook,discharge channel,41.6439,-72.76
14498,Wood River,upstream state forest trail North of Cedar Swamp Road,41.6567,-71.8334
14499,Wood River,downstream Porter Pond Road near intersection w/Gallup/Homestead Road,41.6442,-71.8181
14500,Worden Brook,upstream Squantz Pond,41.5259,-73.4866
14501,Willow Brook,downstream Christian Lane,41.6423,-72.7503
14502,North Branch Park River,downstream Albany Avenue,41.785,-72.7079
14503,North Branch Park River,downstream upper campus road at University of Hartford,41.799,-72.7177
14504,Hop Brook,behind tennis courts at Simsbury HS,41.8736,-72.8226
14505,Falls River,downstream 500 m Messerschmidt Pond,41.3372,-72.4808
14506,Falls River,downstream Dennison Road,41.3375,-72.4816
14507,Waterbury WPCF,final effulent EPT Waterbury WPCF,41.5216,-73.0429
14508,Cedar Swamp Outlet,upstream State Forest Road south of Cedar Swamp Road,41.6465,-71.8322
14509,Winchester WPCF,final effulent Winchester WPCF,41.9404,-73.0538
14510,Bailey Pond,50 meters south pond inlet at northern end,41.6384,-71.7901
14511,Bailey Pond,50 meters north pond outlet at southern end of pond,41.635,-71.792
14512,Porter Pond,500 south of pond inlet northern end,41.6472,-71.822
14513,Porter Pond,west side of rocks south east end adjacent to second road pull off,41.6458,-71.8191
14514,Porter Pond,50 meters north of pond outlet dam at southern end,41.6453,-71.8195
14515,Wood River,downstream Cedar Swamp Road,41.6518,-71.8289
14516,West Branch Naugatuck River,upstream 100 m Wolcott Street,41.81,-73.1349
14517,Wood River tributary to,200 m in from Cedar Swp. Rd. on trail Cedar Swamp Road,41.6514,-71.8319
14518,Belcher Brook,downstream Norton Lane,41.5877,-72.769
14519,Farmington River tributary to,downstream 300 m Indian Hill Road (Mary Hart Road),41.8506,-72.9405
14520,Factory Brook,upstream Salmonkill Road,41.9751,-73.4212
14521,Factory Brook,100 m downstream Confluence with Burton Brook,41.9668,-73.4277
14522,Factory Brook,upstream Cleavland Street,41.9646,-73.4314
14523,Burton Brook,upstream STP access Road,41.9667,-73.4341
14524,Pequabuck River,downstream 10 m Bristol STP outfall,41.6676,-72.9199
14525,Silver Lake,center of northern cove,41.5857,-72.7693
